,City,Country,Tempurature,Humidity,Cloudiness,Wind Speed,Latitude,Date
361,new iberia,US,78.8,84,1,8.05,-91.82,1602379496
362,batagay-alyta,RU,19.0,81,0,3.22,130.41,1602379496
363,haysville,US,73.99,64,1,9.17,-97.35,1602379264
364,carutapera,BR,78.31,81,0,7.78,-46.02,1602379497
365,inhambane,MZ,70.61,85,99,16.58,35.38,1602379497
366,key west,US,84.2,88,1,3.36,-81.78,1602379497
367,bugama,NG,75.69,93,100,0.31,6.86,1602379497
368,ixtapa,MX,86.0,70,75,5.82,-105.2,1602379497
369,sterling,US,66.2,82,90,10.29,-77.43,1602379497
370,ribeira grande,PT,69.64,83,23,4.9,-28.7,1602379497
371,mola di bari,IT,59.0,93,40,1.12,17.09,1602379497
372,lucea,JM,84.2,79,40,5.82,-78.17,1602379497
373,tambun,ID,89.01,78,20,5.82,107.07,1602379498
374,smoky lake,CA,44.01,86,100,1.01,-112.47,1602379498
375,malinovoye ozero,RU,39.49,85,100,7.47,79.78,1602379498
376,salalah,OM,75.2,73,0,4.7,54.09,1602379498
377,tura,IN,76.93,92,0,1.74,90.22,1602379498
378,leningradskiy,RU,31.98,98,100,20.45,178.42,1602379498
379,visnes,NO,46.99,81,0,4.7,5.22,1602379498
380,tuensang,IN,72.36,80,10,2.17,94.83,1602379498
381,ambovombe,MG,67.24,71,0,4.09,46.08,1602379498
382,rawson,AR,48.79,73,0,8.79,-65.1,1602379498
383,ashland,US,66.99,88,75,8.05,-82.27,1602379499
384,bella vista,US,71.6,77,1,5.48,-94.23,1602379499
385,the valley,AI,81.0,88,20,4.7,-63.06,1602379499
386,goderich,CA,57.99,77,0,1.99,-81.72,1602379499
387,sandwick,GB,44.6,87,32,9.17,-1.25,1602379499
388,bowen,AU,82.4,58,75,16.11,148.23,1602379499
389,otukpo,NG,72.18,99,100,4.83,8.13,1602379499
390,kysyl-syr,RU,26.28,84,66,4.38,122.76,1602379499
391,nome,US,46.99,64,40,4.7,-165.41,1602379499
392,boyolangu,ID,80.78,75,100,4.94,111.89,1602379499
393,port-gentil,GA,77.27,86,100,8.34,8.78,1602379499
394,sai buri,TH,78.8,88,40,4.7,101.62,1602379499
395,venado,MX,72.32,31,59,7.43,-101.08,1602379500
396,kaeo,NZ,63.52,70,54,15.05,173.78,1602379500
397,moyale,KE,70.12,77,93,8.08,39.06,1602379500
398,sunland park,US,84.99,10,1,8.32,-106.58,1602379366
399,hamilton,US,68.0,82,90,5.82,-84.53,1602379363
400,leh,IN,36.01,66,0,2.62,77.58,1602379443
401,rocha,UY,45.32,88,0,5.1,-54.33,1602379500
402,nouakchott,MR,77.0,83,0,12.75,-15.98,1602379337
403,giyani,ZA,63.23,59,100,13.47,30.72,1602379500
404,dunedin,NZ,63.0,61,100,1.01,170.5,1602379500
